GaugeID,Warning Level,Danger Level,Station,Latitude,Longitude,River Name/ Tributory/ SubTributory,Basin,State,Start_date,End_date,Level_Entries,Streamflow_Entries,Privacy,Source Catchment Area,Catchment Area,Area variation (%),Reliability
INDOFLOODS-gauge-979,107.0,108.0,Kalpi,26.2,79.7,Ganga/Yamuna,Ganga - Brahmaputra - Meghna/Barak,Uttar Pradesh,1982-01-01,2011-05-31,10741,10743,Restricted,264251.0,244092.5469,7.628524812,Safe
INDOFLOODS-gauge-642,458.403,459.033,Narsingpur,17.9722,75.1392,Krishna/Bhima,Krishna,Maharashtra,1966-12-01,2019-08-20,18376,19046,Open,22856.0,22102.80469,3.2953942510000003,Safe
INDOFLOODS-gauge-884,163.0,164.0,Urachikottai,11.4778,77.7,Cauvery,Cauvery,Tamil Nadu,1979-06-01,2020-05-27,14604,14000,Open,44100.0,44228.08203,0.290435442,Safe
INDOFLOODS-gauge-682,474.12800000000004,475.12800000000004,Sarati,17.9114,75.0075,Krishna/Bhima/ Nira,Krishna,Maharashtra,1965-06-01,2019-08-20,14289,17466,Open,7200.0,6681.524902,7.201043028,Safe
INDOFLOODS-gauge-123,108.67,109.67,Tribeni,27.4417,83.9167,Ganga/Gandak,Ganga - Brahmaputra - Meghna/Barak,Bihar,1970-01-01,2010-12-31,14975,14882,Restricted,37845.0,36112.94922,4.576696472,Safe
INDOFLOODS-gauge-916,523.6,523.6,Singur dam,17.75,77.9283,Godavari/Manjira,Godavari,Telangana,2018-05-31,2020-05-27,587,0,Open,16097.0,15865.90039,1.43566882,Safe
INDOFLOODS-gauge-420,9.0,10.0,Neeleeswaram,10.1833,76.5,Periyar,West Flowing Rivers From Tadri to Kanyakumari,Kerala,1971-03-16,2019-08-20,17571,17377,Open,4234.0,4063.0017090000006,4.038693694,Safe
INDOFLOODS-gauge-654,562.8,565.2,Warunji,17.2722,74.165,Krishna/Koyna,Krishna,Maharashtra,1966-01-01,2020-05-27,19414,19210,Open,1890.0,1853.016968,1.95677418,Safe
INDOFLOODS-gauge-318,6.5,8.0,Haladi,13.5811,74.8536,Haladi,West flowing rivers from Tadri to Kanyakumari,Karnataka,1985-12-30,2020-05-27,12249,12086,Open,583.0,551.1911621,5.456061388999999,Safe
INDOFLOODS-gauge-968,112.0,113.0,Auraiya,26.4272,79.4181,Ganga/Yamuna,Ganga - Brahmaputra - Meghna/Barak,Uttar Pradesh,1976-02-21,2011-05-31,12623,12883,Restricted,261331.0,241018.4531,7.772727652,Safe
INDOFLOODS-gauge-967,121.66,122.66,Mohna,25.8071,79.4085,Ganga/Yamuna /Betwa,Ganga - Brahmaputra - Meghna/Barak,Uttar Pradesh,1984-03-21,2011-05-31,9841,9841,Restricted,41054.0,39285.0,4.3089589319999995,Safe
INDOFLOODS-gauge-511,478.5,479.5,Dhareri,23.1333,75.5147,Ganga/Yamuna/ Chambal,Ganga - Brahmaputra - Meghna/Barak,Madhya Pradesh,1976-01-01,2011-05-31,11284,12935,Restricted,1680.0,1667.049438,0.7708667859999999,Safe
INDOFLOODS-gauge-731,9.45,10.36,Rajghat,21.7678,87.1642,Subarnarekha,Subarnarekha,Odisha,2017-01-01,2020-05-27,959,762,Open,18260.0,18438.29688,0.976434173,Safe
INDOFLOODS-gauge-423,6.0,8.5,Ayilam,8.715,76.85,Vamanapuram,West Flowing Rivers From Tadri to Kanyakumari,Kerala,1978-12-01,2020-05-27,14630,14349,Open,540.0,541.2938232000001,0.23959688899999998,Safe
INDOFLOODS-gauge-817,308.0,309.0,aklera.,24.4297,76.6039,Ganga/Yamuna/ Chambal/ Kalisindh/Parwan,Ganga - Brahmaputra - Meghna/Barak,Rajasthan,1975-06-01,2011-05-31,8138,13056,Restricted,6050.0,6076.570313,0.43917872700000005,Safe
INDOFLOODS-gauge-1076,16.92,17.22,Berhampore,24.0911,88.2431,Bhagirathi,Ganga - Brahmaputra -Meghna/Barak,West Bengal,2010-06-18,2013-10-31,441,0,Open,3370.0,3404.282715,1.0172912459999999,Safe
INDOFLOODS-gauge-403,5.95,6.95,Kuttyadi,11.625,75.7844,Kuttyadi,West Flowing Rivers From Tadri to Kanyakumari,Kerala,2000-03-13,2020-05-27,7094,6815,Open,238.0,249.5108185,4.836478361,Safe
INDOFLOODS-gauge-1095,38.42,39.42,Gheropara        ,23.6167,87.7008,Bhagirathi/Ajoy,Ganga - Brahmaputra -Meghna/Barak,West Bengal,2010-06-03,2020-10-31,1176,0,Open,5969.0,4486.435547,24.83773585,Safe
INDOFLOODS-gauge-646,8.0,9.0,Nagothane,18.5192,73.1564,Amba,West flowing rivers from Tapi of Tadri,Maharashtra,2016-05-01,2020-05-27,870,734,Open,420.0,436.1244507,3.8391549289999998,Safe
INDOFLOODS-gauge-1018,65.45,65.95,Mekhliganj,26.3325,88.8636,Brahmaputra/ Teesta,Ganga - Brahmaputra -Meghna/Barak,West Bengal,2016-07-18,2020-10-31,562,0,Open,10205.0,9908.03418,2.9100031360000003,Safe
INDOFLOODS-gauge-391,359.50300000000004,360.50300000000004,Yadgir,16.7375,77.1253,Krishna/Bhima,Krishna,Karnataka,1965-06-01,2020-05-27,19383,19626,Open,69863.0,69118.5,1.065657072,Safe
INDOFLOODS-gauge-635,490.9,493.68,Kopergaon,19.8783,74.4819,Godavari,Godavari,Maharashtra,2014-06-01,2020-05-27,1508,945,Open,6840.0,6916.848633,1.123518026,Safe
INDOFLOODS-gauge-789,164.0,165.0,Manderial,26.2725,77.2753,Ganga/Yamuna/ Chambal,Ganga - Brahmaputra - Meghna/Barak,Rajasthan,1982-12-01,2011-05-31,10401,10409,Restricted,136250.0,131439.9063,3.5303440000000004,Safe
INDOFLOODS-gauge-952,114.5,115.5,bani,26.6517,80.7942,Ganga/Gomti/Sai,Ganga - Brahmaputra - Meghna,Uttar Pradesh,1992-06-16,2011-05-31,4569,0,Restricted,3105.0,3039.713379,2.102628696,Safe
INDOFLOODS-gauge-1013,47.7,48.2,Mathabhanga ,26.3253,89.2356,Brahmaputra/ Jaldhaka,Ganga - Brahmaputra -Meghna/Barak,West Bengal,2013-06-01,2020-10-31,1054,0,Open,3039.0,3542.1064450000003,16.55499984,Safe
INDOFLOODS-gauge-890,4.5,6.0,Ashramam,8.16,77.4575,Pazhayar,West Flowing Rivers From Tadri to Kanyakumari,Tamil Nadu,1999-09-21,2020-05-27,6888,6643,Open,258.0,294.0782166,13.98380488,Safe
INDOFLOODS-gauge-395,537.8,538.8,Sadalga (seasonal),16.5639,74.5275,Krishna/ Dudhganga,Krishna,Karnataka,1969-06-01,2020-05-27,13727,15634,Open,2322.0,2236.875732,3.665989147,Safe
INDOFLOODS-gauge-338,334.51099999999997,335.51099999999997,Deosugur,16.3822,77.3572,Krishna,Krishna,Karnataka,1965-06-01,2020-05-27,5428,4733,Open,129500.0,124893.2734,3.557317838,Safe
INDOFLOODS-gauge-1004,772.0,773.0,karanprayag,30.2556,79.2211,Ganga/Alaknanda/ Pinder,Ganga - Brahmaputra - Meghna,Uttarakhand,1977-01-01,2011-12-31,12775,12775,Restricted,1905.0,1881.723267,1.221875748,Safe
INDOFLOODS-gauge-414,12.0,13.0,Karathodu,11.0569,76.0394,Kadalundi,West Flowing Rivers From Tadri to Kanyakumari,Kerala,1986-06-20,2020-05-27,11644,11440,Open,750.0,757.4697876,0.99597168,Safe
INDOFLOODS-gauge-998,535.0,536.0,shrinagar,30.2258,78.7756,Ganga/Alaknanda,Ganga - Brahmaputra - Meghna,Uttarakhand,1976-01-01,2011-01-29,11182,0,Restricted,10627.0,10580.75977,0.43512026,Safe
INDOFLOODS-gauge-97,856.66,858.16,Kunturla,18.2,82.65,Machkund,Godavari,Andhra Pradesh,2018-01-01,2019-08-19,459,202,Open,713.0,715.0139771,0.28246523100000004,Safe
INDOFLOODS-gauge-481,201.0,202.0,Khatoli,25.6833,76.4833,Ganga/Yamuna/,Ganga - Brahmaputra - Meghna/Barak,Madhya Pradesh,1971-06-01,2006-05-31,6208,6209,Restricted,15148.0,14985.61719,1.071975244,Safe
INDOFLOODS-gauge-1100,13.1,14.32,Katwa,23.65,88.14,Bhagirathi-II (WB)*,Ganga,West Bengal,2010-06-01,2020-10-31,1150,0,Open,15350.0,19162.85352,24.83943661,Safe
INDOFLOODS-gauge-1006,1382.0,1383.0,joshimath,30.5669,79.5525,Ganga/Alaknanda,Ganga - Brahmaputra - Meghna,Uttarakhand,1971-05-01,2011-12-31,14814,14806,Restricted,4595.0,4574.710938,0.44154650700000003,Safe
INDOFLOODS-gauge-956,108.5,109.5,lucknow,26.8611,80.9464,Ganga/Gomti,Ganga - Brahmaputra - Meghna,Uttar Pradesh,1969-09-01,2011-12-31,13666,13665,Restricted,10503.0,9266.955078,11.76849397,Safe
INDOFLOODS-gauge-836,19.5,20.5,Murappanadu,8.7144,77.835,Tambraparni,East flowing rivers between Pennar Kanyakumari,Tamil Nadu,1977-11-23,2020-05-27,15087,14827,Open,4380.0,4622.459961,5.535615547999999,Safe
INDOFLOODS-gauge-407,18.03,19.03,Erinjipuzha,12.4792,75.1472,Payaswani,West Flowing Rivers From Tadri to Kanyakumari,Kerala,1985-06-25,2020-05-27,12471,12203,Open,957.0,903.4658203,5.593958171000001,Safe
INDOFLOODS-gauge-896,341.0,342.0,Thengumarahada,11.5728,76.9192,Cauvery/Bhavani/,Cauvery,Tamil Nadu,1979-06-01,2020-05-27,14883,14439,Open,1370.0,1321.067505,3.571714964,Safe
INDOFLOODS-gauge-917,281.0,282.0,K. agraharam,16.2592,77.8411,Krishna,Krishna,Telangana,1981-06-01,2020-02-28,10070,9511,Open,132920.0,128209.9141,3.543549428,Safe
INDOFLOODS-gauge-506,203.0,204.0,Garrauli,24.6411,79.2833,Ganga/Yamuna/Betw/Dhasan,Ganga - Brahmaputra - Meghna/Barak,Madhya Pradesh,1982-07-01,2011-05-31,10555,10555,Restricted,840.0,1305.453735,55.41115893,Caution
INDOFLOODS-gauge-925,45.72,48.77,Bhadrachalam,17.6681,80.8772,Godavari,Godavari,Telangana,2006-03-03,2020-05-27,1682,1327,Open,280505.0,277813.9063,0.9593745920000001,Safe
INDOFLOODS-gauge-833,1496.4,1496.8,Kukkalthurai,11.49,76.83,Bhavani,Cauvery,Tamil Nadu,2017-06-15,2020-05-27,656,134,Open,,73.23088074,,Caution
INDOFLOODS-gauge-926,425.5,426.6,Jewangi,17.2544,77.4628,Krishna/Bhima/ Kagna,Krishna,Telangana,1978-11-24,2019-08-20,8610,10058,Open,1920.0,1925.747437,0.299345677,Safe
INDOFLOODS-gauge-415,10.85,11.85,Kuniyil,11.2394,76.0233,Chaliyar,West Flowing Rivers From Tadri to Kanyakumari,Kerala,1979-01-04,2020-05-27,14356,13870,Open,1876.0,1997.918213,6.498838646,Safe
INDOFLOODS-gauge-684,563.41,567.04,Karad,17.2944,74.1903,Krishna,Krishna,Maharashtra,1965-06-01,2020-05-27,19776,19544,Open,5462.0,5337.689941,2.275907342,Safe
INDOFLOODS-gauge-430,7.1,8.1,Arangali,10.2814,76.3153,Periyar/Chalakudy,West Flowing Rivers From Tadri to Kanyakumari,Kerala,1978-04-27,2020-05-14,14981,14627,Open,1342.0,1334.644775,0.5480793589999999,Safe
INDOFLOODS-gauge-162,29.0,30.0,Silvassa,20.2703,72.9869,Damanganga,West flowing rivers from  Tapi to Tadri,Dadra and Nagar Haveli and Daman and Diu,2018-01-01,2019-08-20,422,0,Open,2122.0,2188.419678,3.1300508010000003,Safe
INDOFLOODS-gauge-790,216.0,220.0,Mandawara,25.3853,76.1519,Ganga/Yamuna/ Chambal,Ganga - Brahmaputra - Meghna/Barak,Rajasthan,1981-06-02,2011-05-31,10945,10956,Restricted,29151.0,28369.94727,2.67933426,Safe
INDOFLOODS-gauge-303,383.5,384.5,paonta,30.4253,77.5919,Ganga/Yamuna,Ganga - Brahmaputra - Meghna/Barak,Himachal Pradesh,1978-10-16,2012-02-29,12151,12164,Restricted,10769.0,10798.81934,0.276899805,Safe
INDOFLOODS-gauge-411,8.0,9.0,Ramamangalam,9.845,76.4667,Muvattupuzha,West Flowing Rivers From Tadri to Kanyakumari,Kerala,1978-04-25,2019-08-20,14970,14756,Open,1208.0,1369.923584,13.4042702,Safe
INDOFLOODS-gauge-950,162.07,163.07,bareilly,28.2992,79.3667,Ganga/Ramganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,1970-05-20,2011-10-31,3629,3629,Restricted,18340.0,18535.52344,1.0661038170000001,Safe
INDOFLOODS-gauge-1010,47.81,48.42,L.R.P. Crossing,26.46,89.86,sankosh,,West Bengal,2010-06-01,2020-10-31,1312,0,Open,,10008.26074,,Caution
INDOFLOODS-gauge-376,355.24,356.24,Huvinhedigi,16.4911,76.9231,Krishna,Krishna,Karnataka,1976-02-01,2020-05-27,15993,15556,Open,55150.0,53425.38672,3.127131967,Safe
INDOFLOODS-gauge-885,49.9,50.5,Irrukkankudi,9.3239,77.9903,Vaippar,East flowing rivers between Pennar Kanyakumari,Tamil Nadu,1989-11-25,2020-05-24,2860,10023,Open,3721.0,3872.849854,4.08088831,Safe
INDOFLOODS-gauge-1020,11.8,12.8,Mundeswari/Harinkhola,22.8381,87.9031,Bhagirathi/Damodar/ Mundeswari,Ganga - Brahmaputra -Meghna/Barak,West Bengal,2010-06-01,2011-10-11,266,0,Open,21310.0,21904.48242,2.789687565,Safe
INDOFLOODS-gauge-175,126.18,128.0,Panam dam,23.0542,73.7167,Mahi/Panam,Mahi,Gujarat,2018-01-01,2020-05-27,498,0,Open,2314.0,2308.24707,0.248614088,Safe
INDOFLOODS-gauge-814,258.0,259.0,Banas at abu road,24.4939,72.7917,Banas,West flowing rivers of Kutchh and Saurashtra including Luni,Rajasthan,1980-06-23,2020-05-27,8144,8580,Open,1600.0,1431.448975,10.53443906,Safe
INDOFLOODS-gauge-775,406.9,407.9,Chittorgarh,24.8667,74.6356,Ganga/Yamuna/ Chambal/Banas/ Gambhiri,Ganga - Brahmaputra - Meghna/Barak,Rajasthan,1976-11-01,2011-05-31,9083,11647,Restricted,1445.0,1411.671509,2.306469965,Safe
INDOFLOODS-gauge-898,494.0,495.0,Gummanur,12.555,78.1386,Ponnaiyar,East flowing rivers between Pennar Kanyakumari,Tamil Nadu,1978-09-01,2020-05-27,13753,14700,Open,4620.0,5049.803223,9.303100065,Safe
INDOFLOODS-gauge-243,126.18,127.71,Kadana dam,23.3064,73.8261,Mahi,Mahi,Gujarat,2018-01-01,2020-05-27,716,0,Open,25520.0,25780.10156,1.01920674,Safe
INDOFLOODS-gauge-665,252.7,254.9,Wankhed,20.99,76.73,Tapi,Tapi,Maharashtra,2018-01-01,2019-08-20,418,0,Open,,463.08306880000004,,Caution
INDOFLOODS-gauge-544,437.2,437.8,Mandla,22.5992,80.3639,Narmada,Narmada,Madhya Pradesh,2018-01-01,2020-05-27,638,0,Open,13000.0,12778.33301,1.7051306919999998,Safe
INDOFLOODS-gauge-786,281.5,281.5,Mahi dam,23.6275,74.5453,Mahi,Mahi,Rajasthan,2018-01-01,2020-05-27,716,0,Open,6149.0,6153.266602000001,0.069386925,Safe
INDOFLOODS-gauge-944,25.0,26.0,Khowai,24.0789,91.5919,Meghna/,Ganga - Brahmaputra - Meghna/Barak,Tripura,2018-01-01,2020-05-27,450,309,Open,1310.0,1246.7971189999998,4.824647405,Safe
INDOFLOODS-gauge-422,18.0,20.0,Nellipalli,9.03,76.92,Kallada,West flowing rivers from Tadri to Kanyakumari,Kerala,2019-06-01,2020-05-27,136,0,Open,,883.2365112,,Caution
INDOFLOODS-gauge-1084,7.96,8.59,Hanskhali,23.3553,88.6061,Bhagirathi/Churni,Ganga - Brahmaputra -Meghna/Barak,West Bengal,2010-06-01,2020-10-31,1299,0,Open,980.0,146.5135803,85.04963466,Caution
INDOFLOODS-gauge-406,290.65,291.65,Kottathara,11.13,76.68,Bhavani,Cauvery,Kerala,2017-06-15,2020-05-27,782,207,Open,130.38,175.8397522,34.86712088,Caution
INDOFLOODS-gauge-421,8.3,9.3,Palakadavu,10.43,76.24,Karamana,West flowing rivers from Tadri to Kanyakumari,Kerala,2019-07-01,2020-04-30,57,0,Open,,782.3994141,,Caution
INDOFLOODS-gauge-596,9.4,11.0,Niivali,17.0692,73.45,Bav,West flowing rivers from Tapi of Tadri,Maharashtra,2018-01-01,2020-05-27,607,0,Open,421.0,408.33078,3.0093159139999996,Safe
INDOFLOODS-gauge-1005,544.0,545.0,koteswar,30.3308,78.4883,Ganga/Bhagirath,Ganga - Brahmaputra - Meghna,Uttarakhand,2011-07-03,2011-12-31,159,159,Restricted,7413.0,7273.05957,1.887770538,Safe
INDOFLOODS-gauge-844,134.12,135.12,Nallamaranpatty,10.8808,77.9847,Cauvery/,Cauvery,Tamil Nadu,1977-12-01,2020-05-27,7351,14276,Open,9080.0,8603.462891,5.248206046,Safe
INDOFLOODS-gauge-645,558.1,559.6,Nasik,20.0019,73.8033,Godavari,Godavari,Maharashtra,2018-01-01,2020-05-07,585,0,Open,650.0,693.2064209,6.6471416770000005,Safe
INDOFLOODS-gauge-961,113.3,114.3,bhatpurwagat,27.1911,80.8,Ganga/Gomti,Ganga - Brahmaputra - Meghna,Uttar Pradesh,2004-07-01,2011-07-31,2585,0,Restricted,6615.0,7425.166992,12.2474224,Safe
INDOFLOODS-gauge-446,63.5,64.5,Pudur,10.78,76.575,Bharathapuzha/ Kannadipuzha,West Flowing Rivers From Tadri to Kanyakumari,Kerala,1985-09-02,2020-05-27,12228,12003,Open,1313.0,1283.758911,2.227044097,Safe
INDOFLOODS-gauge-943,73.32,75.82,Eturunagaram,18.6203,79.8042,Godavari,Godavari,Telangana,2018-01-01,2020-05-27,663,0,Open,270600.0,12880.31641,95.24009002,Caution
INDOFLOODS-gauge-585,88.0,90.0,Ozerkheda,20.1006,73.2706,Damanganga/ Wagh,West flowing rivers from  Tapi to Tadri,Maharashtra,2019-02-05,2020-01-31,327,0,Open,640.0,637.4835205,0.39319992200000004,Safe
INDOFLOODS-gauge-617,212.0,214.0,Hathnur,21.0719,75.9461,Tapi,Tapi,Maharashtra,2018-01-01,2019-08-20,407,0,Open,29430.0,29500.49805,0.239544852,Safe
INDOFLOODS-gauge-922,53.0,55.0,Dummugudem,17.8372,80.8861,Godavari,Godavari,Telangana,2018-01-01,2020-05-27,549,0,Open,279745.0,273897.3125,2.090363545,Safe
INDOFLOODS-gauge-1042,47.7,48.2,Mansai/Mathabhanga ,26.3253,89.2356,Brahmaputra/ Jaldhaka,Ganga - Brahmaputra -Meghna/Barak,West Bengal,2010-06-01,2011-10-11,263,0,Open,3039.0,3542.1064450000003,16.55499984,Safe
INDOFLOODS-gauge-31,37.74,39.24,Kunavaram,17.5731,81.25,Godavari,Godavari,Andhra Pradesh,2018-01-01,2020-05-27,569,1,Open,284880.0,279467.9688,1.899758214,Safe
INDOFLOODS-gauge-551,441.0,443.0,Tal.,23.7233,75.3469,Ganga/Yamuna/ Chambal,Ganga - Brahmaputra - Meghna/Barak,Madhya Pradesh,1976-01-01,2011-05-31,10500,12931,Restricted,4270.0,4279.522949,0.223019883,Safe
INDOFLOODS-gauge-648,12.295,13.0,Pen,18.7367,73.1108,Bhogeswari,West flowing rivers from Tapi of Tadri,Maharashtra,2016-05-01,2020-05-25,922,691,Open,125.0,123.8492584,0.92059328,Safe
INDOFLOODS-gauge-367,657.75,657.75,Bhadra dam,13.7,75.64,Krishna,Krishna,Karnataka,2018-01-01,2020-05-27,695,0,Open,,2010.45813,,Caution
INDOFLOODS-gauge-913,269.75,269.75,Srisailam dam,16.0869,78.8967,Krishna,Krishna,Telangana,2019-02-01,2020-04-22,375,0,Open,206041.0,208408.9219,1.149247917,Safe
INDOFLOODS-gauge-426,77.4,78.4,Manikal,9.53,76.91,Manimala,West flowing rivers from Tadri to Kanyakumari,Kerala,2019-07-01,2020-05-27,89,0,Open,,47.73057938,,Caution
INDOFLOODS-gauge-404,17.9,18.9,Chakkalakuth,11.26,76.24,Kudhirapuzha,West flowing rivers from Tadri to Kanyakumari,Kerala,2019-06-01,2020-05-27,97,0,Open,214.0,225.7147522,5.474183271,Safe
INDOFLOODS-gauge-445,23.8,24.8,Pallippady,10.04,76.62,Kothamangalam,West flowing rivers from Tadri to Kanyakumari,Kerala,2019-07-01,2020-05-27,89,0,Open,,183.9282227,,Caution
INDOFLOODS-gauge-787,429.1,430.1,Bigod,25.2506,75.035,Ganga/Yamuna/ Chambal/Banas,Ganga - Brahmaputra - Meghna/Barak,Rajasthan,1976-11-01,2011-05-31,10467,12537,Restricted,14338.0,13620.57129,5.0036874739999995,Safe
INDOFLOODS-gauge-434,100.0,101.0,Madamon,9.36,76.84,Pamba,West flowing rivers from Tapi to Tadri,Kerala,2019-06-01,2020-05-27,136,0,Open,,1090.711304,,Caution
INDOFLOODS-gauge-19,14.25,16.08,Dowlaiswaram(state gov. site),16.9383,81.7825,Godavari,Godavari,Andhra Pradesh,2018-01-01,2020-05-27,690,0,Open,311150.0,305683.8125,1.7567692430000001,Safe
INDOFLOODS-gauge-485,262.13,263.35,Indirasagar dam,22.28,76.47,Narmada,Narmada,Madhya Pradesh,2018-07-01,2020-05-27,97,0,Open,,61992.69531,,Caution
INDOFLOODS-gauge-180,8.5,9.5,Surat,21.2,72.82,Tapi,Tapi,Gujarat,2018-07-01,2020-04-23,104,0,Open,63973.0,63694.52734,0.435297172,Safe
INDOFLOODS-gauge-602,10.0,11.0,Mahad,18.0922,73.4603,Savitri,West flowing rivers from Tapi of Tadri,Maharashtra,2018-01-01,2020-05-27,520,0,Open,758.6,861.9865112,13.62859362,Safe
INDOFLOODS-gauge-705,123.5,125.4,Rengali dam u/s,21.29,85.03,Brahmni,Brahmani and Baitarni,Odisha,2018-07-01,2019-08-20,103,0,Open,,25141.4375,,Caution
INDOFLOODS-gauge-668,16.5,17.5,Badlapur,19.1622,73.2544,Ulhas,West flowing rivers from Tapi of Tadri,Maharashtra,2013-06-01,2020-05-27,1191,1075,Open,785.0,961.7387085000001,22.51448516,Safe
INDOFLOODS-gauge-656,540.17,542.21,Nandre,16.95,74.53,Yerala,Krishna,Maharashtra,2018-01-01,2020-05-27,549,199,Open,3038.0,2928.480469,3.6049878539999995,Safe
INDOFLOODS-gauge-345,456.5,457.6,Kokangaon,17.2864,75.6372,Krishna/ Bhima/Borinala,Krishna,Karnataka,1979-07-25,2019-08-20,4038,10120,Open,1640.0,1641.223389,0.07459689,Safe
INDOFLOODS-gauge-329,402.0,404.5,Deongaon bridge,17.1703,76.3283,Krishna/Bhima,Krishna,Karnataka,2018-01-01,2020-05-27,717,0,Open,50843.0,52106.02344,2.484163877,Safe
INDOFLOODS-gauge-399,26.5,27.5,Peruvampadam,11.32,76.2,Chaliyar,West flowing rivers from Tapi to Tadri,Kerala,2019-06-01,2020-05-27,96,0,Open,75.0,75.75479126,1.0063883470000001,Safe
INDOFLOODS-gauge-694,17.83,17.83,Akhuapada,20.9156,86.2747,Baitarni, Brahmni - Baitarni,Odisha,2018-01-01,2020-05-27,483,0,Open,10385.0,10024.22949,3.4739577269999997,Safe
INDOFLOODS-gauge-889,132.0,133.0,Elunuthimangalam,11.0317,77.8875,Cauvery/Noyyal,Cauvery,Tamil Nadu,1998-08-07,2020-05-27,6256,6925,Open,3386.0,3396.27124,0.303344359,Safe
INDOFLOODS-gauge-734,25.41,26.41,Naraj,20.475,85.775,Mahanadi,Mahanadi,Odisha,2018-01-01,2020-05-27,504,0,Open,133230.0,132534.9063,0.521724612,Safe
INDOFLOODS-gauge-1074,22.75,23.5,Englishbazar ,24.0031,88.1375,Padma/Mahananda,Ganga - Brahmaputra -Meghna/Barak,West Bengal,2010-06-17,2020-10-31,1098,0,Open,12820.0,3812.43042,70.2618532,Caution
INDOFLOODS-gauge-441,17.2,18.2,Perumannu,11.9814,75.5875,Valapatnam,West Flowing Rivers From Tadri to Kanyakumari,Kerala,1985-06-26,2020-05-27,12458,12144,Open,1070.0,1064.725464,0.49294729,Safe
INDOFLOODS-gauge-1012,47.81,48.42,L.R.P. Crossing,26.47,89.79,raidak-ii,,West Bengal,2010-06-01,2020-10-31,1167,0,Open,,148.7983093,,Caution
INDOFLOODS-gauge-294,101.0,102.0,Nanipalson,20.2028,73.2811,Damanganga,West flowing rivers from  Tapi to Tadri,Gujarat,2019-02-05,2020-05-27,412,0,Open,764.0,757.8242187999999,0.808348325,Safe
INDOFLOODS-gauge-832,445.465,445.965,Alandurai,10.95,76.79,Noyyal,Cauvery,Tamil Nadu,2017-06-01,2020-05-27,689,167,Open,156.4,168.3835144,7.662093606,Safe
INDOFLOODS-gauge-626,496.83,497.58,Ujani dam,18.07,75.12,Krishna,Krishna,Maharashtra,2018-11-01,2019-08-20,242,0,Open,,14911.732419999998,,Caution
INDOFLOODS-gauge-877,240.79,244.14,Mettur dam,11.8,77.8,Cauvery,Cauvery,Tamil Nadu,2017-12-06,2020-05-27,756,8,Open,,42438.83984,,Caution
